Nuclide	N_ENSDF	Z_ENSDF	P1n	P1n_i1	P2n_i1	P2n	P1n_i2	P2n_i2	P3n	P4n
He	6	2	16	0	0	0	0	0	0	0
Li	6	3	50.5	0	0	0	0	0	0	0
Li	8	3	86.6	0	0	4.2	0	0	1.9	0
Be	8	4	0.5	0	0	0	0	0	0	0
Be	10	4	86	0	0	5.1	0	0	0	0
B	8	5	0.266	0	0	0	0	0	0	0
B	9	5	6.04	0	0	0	0	0	0	0
B	10	5	99.68	0	0	1.5	0	0	0	0
B	12	5	63	0	0	11.9	0	0	3.5	0.4
B	14	5	71.8	0	0	16	0	0	9.1	0
C	10	6	99.28	0	0	0	0	0	0	0
C	11	6	28.4	0	0	0	0	0	0	0
C	12	6	22	0	0	0	0	0	0	0
C	13	6	47	0	0	7	0	0	0	0
C	14	6	66	0	0	18.6	0	0	0	0
C	16	6	61	0	0	37	0	0	0	0
N	10	7	95.1	0	0	0	0	0	0	0
N	11	7	10.9	0	0	0	0	0	0	0
N	12	7	41.8	0	0	0	0	0	0	0
N	13	7	42.9	0	0	0	0	0	0	0
N	14	7	86.5	0	0	0	0	0	0	0
N	15	7	34	0	0	12	0	0	0	0
N	16	7	42.2	0	0	8	0	0	3.4	0
O	14	8	22	0	0	0	0	0	0	0
O	15	8	7	0	0	0	0	0	0	0
O	16	8	41	0	0	0	0	0	0	0
F	13	9	11	0	0	0	0	0	0	0
F	14	9	14	0	0	0	0	0	0	0
F	15	9	5.9	0	0	0	0	0	0	0
F	16	9	19.5	0	0	0	0	0	0	0
F	17	9	13.5	0	0	0	0	0	0	0
F	18	9	90	0	0	0	0	0	0	0
F	20	9	20	0	0	0	0	0	0	0
Ne	16	10	0.13	0	0	0	0	0	0	0
Ne	17	10	2	0	0	0	0	0	0	0
Ne	18	10	12	0	0	3.7	0	0	0	0
Ne	19	10	28	0	0	4	0	0	0	0
Ne	20	10	12.6	0	0	8.9	0	0	0	0
Na	16	11	0.13	0	0	0	0	0	0	0
Na	17	11	0.84	0	0	0	0	0	0	0
Na	18	11	25	0	0	0	0	0	0	0
Na	19	11	30	0	0	1.27	0	0	0	0
Na	20	11	37	0	0	0.79	0	0	0	0
Na	21	11	24	0	0	8.8	0	0	0	0
Na	22	11	47	0	0	13	0	0	0	0
Na	23	11	95	0	0	0	0	0	0	0
Mg	18	12	0.06	0	0	0	0	0	0	0
Mg	19	12	6.2	0	0	0	0	0	0	0
Mg	20	12	5.4	0	0	0	0	0	0	0
Mg	21	12	14	0	0	0	0	0	0	0
Mg	22	12	58	0	0	0	0	0	0	0
Mg	23	12	52	0	0	0	0	0	0	0
Mg	24	12	48	0	0	0	0	0	0	0
Al	18	13	1.6	0	0	0	0	0	0	0
Al	19	13	0.7	0	0	0	0	0	0	0
Al	20	13	8.5	0	0	0	0	0	0	0
Al	21	13	26	0	0	0	0	0	0	0
Al	22	13	38	0	0	0	0	0	0	0
Al	23	13	31	0	0	0	0	0	0	0
Al	24	13	55	0	0	0	0	0	0	0
Al	25	13	84	0	0	0	0	0	0	0
Al	26	13	97	0	0	0	0	0	0	0
Si	21	14	5.26	0	0	0	0	0	0	0
Si	22	14	12.4	0	0	0	0	0	0	0
Si	23	14	17	0	0	0	0	0	0	0
Si	24	14	28	0	0	0	0	0	0	0
Si	25	14	60	0	0	0	0	0	0	0
Si	26	14	59	0	0	0	0	0	0	0
Si	27	14	61	0	0	0	0	0	0	0
P	23	15	12	0	0	0	0	0	0	0
P	24	15	26	0	0	0	0	0	0	0
P	25	15	15.8	0	0	0	0	0	0	0
P	26	15	30	0	0	0	0	0	0	0
P	27	15	50	0	0	0	0	0	0	0
P	28	15	100	0	0	0	0	0	0	0
S	26	16	1	0	0	0	0	0	0	0
S	27	16	40	0	0	0	0	0	0	0
S	28	16	18	0	0	0	0	0	0	0
S	29	16	54	0	0	0	0	0	0	0
Cl	27	17	8	0	0	0	0	0	0	0
Cl	28	17	24	0	0	0	0	0	0	0
Cl	29	17	60	0	0	0	0	0	0	0
Cl	30	17	3	0	0	0	0	0	0	0
Ar	29	18	0.2	0	0	0	0	0	0	0
Ar	30	18	38	0	0	0	0	0	0	0
Ar	31	18	29	0	0	0	0	0	0	0
Ar	32	18	37	0	0	0	0	0	0	0
K	29	19	1.14	0	0	0	0	0	0	0
K	30	19	86	0	0	0	0	0	0	0
K	31	19	28.6	0	0	0	0	0	0	0
K	32	19	65	0	0	0	0	0	0	0
K	33	19	72.2	0	0	2.3	0	0	0	0
K	34	19	75	0	0	10	0	0	0	0
Ca	32	20	2	0	0	0	0	0	0	0
Ca	33	20	40	0	0	0	0	0	0	0
Sc	33	21	16	0	0	0	0	0	0	0
Sc	34	21	17	0	0	0	0	0	0	0
Sc	35	21	0	12	0	0	0	0	0	0
V	36	23	3	0	0	0	0	0	0	0
V	38	23	10	0	0	0	0	0	0	0
V	40	23	35	0	0	0	0	0	0	0
Mn	36	25	0	0	0	0	0	0	0	0
Mn	37	25	0	0	0	0	0	0	0	0
Mn	38	25	0	0	0	0	0	0	0	0
Mn	39	25	2.7	0	0	0	0	0	0	0
Mn	40	25	7.9	0	0	0	0	0	0	0
Mn	41	25	4	0	0	0	0	0	0	0
Mn	44	25	0	0	0	0	0	0	0	0
Co	44	27	3.6	0	0	0	0	0	0	0
Co	45	27	4	0	0	0	0	0	0	0
Co	46	27	7.9	0	0	0	0	0	0	0
Co	47	27	18	0	0	0	0	0	0	0
Co	48	27	16	0	0	0	0	0	0	0
Ni	47	28	10	0	0	0	0	0	0	0
Ni	48	28	14	0	0	0	0	0	0	0
Ni	49	28	30	0	0	0	0	0	0	0
Cu	44	29	0.029	0	0	0	0	0	0	0
Cu	45	29	0.075	0	0	0	0	0	0	0
Cu	46	29	2.7	0	0	0	0	0	0	0
Cu	47	29	7.2	7.2	0	0	0	0	0	0
Cu	48	29	30.5	0	0	0	0	0	0	0
Cu	49	29	51	0	0	0	0	0	0	0
Cu	50	29	66	0	0	0	0	0	0	0
Cu	51	29	58	0	0	0	0	0	0	0
Cu	52	29	81	0	0	0	0	0	0	0
Zn	49	30	1.75	0	0	0	0	0	0	0
Zn	50	30	1	0	0	0	0	0	0	0
Zn	51	30	9.8	0	0	0	0	0	0	0
Zn	52	30	69	0	0	0	0	0	0	0
Zn	53	30	71	0	0	0	0	0	0	0
Zn	54	30	73	0	0	0	0	0	0	0
Ga	48	31	0.084	0	0	0	0	0	0	0
Ga	49	31	0.846	0	0	0	0	0	0	0
Ga	50	31	12.5	0	0	0	0	0	0	0
Ga	51	31	22.7	0	0	0	0	0	0	0
Ga	52	31	62.1	0	0	0	0	0	0	0
Ga	53	31	50	0	0	0	0	0	0	0
Ga	54	31	79	0	0	0	0	0	0	0
Ga	55	31	60	0	0	20	0	0	0	0
Ge	52	32	10.6	0	0	0	0	0	0	0
Ge	53	32	16.4	0	0	0	0	0	0	0
