N	Z	P1n	P2n	P3n	P4n	P5n	Element
0	1	0	0	0	0	0	H
1	1	0	0	0	0	0	H
1	2	0	0	0	0	0	He
2	2	0	0	0	0	0	He
3	3	0	0	0	0	0	Li
4	3	0	0	0	0	0	Li
5	4	0	0	0	0	0	Be
5	5	0	0	0	0	0	B
6	5	0	0	0	0	0	B
6	6	0	0	0	0	0	C
7	6	0	0	0	0	0	C
7	7	0	0	0	0	0	N
8	7	0	0	0	0	0	N
8	8	0	0	0	0	0	O
9	8	0	0	0	0	0	O
10	8	0	0	0	0	0	O
11	8	0	0	0	0	0	O
12	8	0.8	0	0	0	0	O
13	8	1.7	0.7	0	0	0	O
14	8	8.6	0.6	0.2	0	0	O
15	8	16	1.8	0.3	0.3	0	O
16	8	73.3	1.7	0.6	0.2	0.1	O
17	8	10.4	11.7	0.4	0.4	0.3	O
18	8	8.8	11.3	1.3	0.3	0.5	O
19	8	38.8	10.1	10.5	1.5	0.8	O
20	8	61.7	10.9	8.6	8.9	1.7	O
21	8	0.3	25.6	44.8	10.5	14.7	O
22	8	0.7	0.7	6.4	54.8	35.1	O
23	8	0	0.3	0.4	2.4	95.1	O
24	8	0	0	0.2	0.3	97.9	O
25	8	0	0	0	0.2	98.6	O
11	9	0	0	0	0	0	F
12	9	0	0	0	0	0	F
13	9	1.6	0.3	0	0	0	F
14	9	5.2	0.4	0	0	0	F
15	9	15.2	1.5	0.3	0.1	0	F
16	9	44.2	1	0.4	0.1	0	F
17	9	8.1	8.7	0.3	0.3	0.1	F
18	9	31	8.1	0.8	0.2	0.3	F
19	9	50.7	14.3	2.1	0.7	0.5	F
20	9	77.1	5.2	11.3	0.8	0.9	F
21	9	0.9	73.5	7.1	13.5	1.9	F
22	9	1.1	1.2	65.4	13.3	17.2	F
23	9	0	1	0.7	50.7	46	F
24	9	0	0	0.7	0.6	97.3	F
25	9	0	0	0	0.6	98.2	F
27	9	0	0	0	0.1	98.9	F
13	10	0	0	0	0	0	Ne
14	10	0	0	0	0	0	Ne
15	10	0.9	0.1	0	0	0	Ne
16	10	2.3	0.2	0	0	0	Ne
17	10	1.8	0.7	0.2	0	0	Ne
18	10	6.2	0.5	0.3	0.1	0	Ne
19	10	5.4	2.7	0.3	0.3	0.1	Ne
20	10	8.1	2.1	0.6	0.2	0.3	Ne
21	10	54.8	9.3	4.1	0.7	0.6	Ne
22	10	69.4	10.7	10.9	1.3	1	Ne
23	10	0.4	54.6	23.8	13	3.4	Ne
24	10	2.8	2.2	65.1	9.4	16.2	Ne
25	10	0	2.4	0.7	28.8	65.3	Ne
26	10	1	0	2.4	3.8	88.6	Ne
27	10	0	0.3	0	2.1	95.4	Ne
28	10	0	0	0.4	0.2	96.4	Ne
29	10	0	0	0	0.2	97.9	Ne
31	10	0	0	0	0.1	98.4	Ne
13	11	0	0	0	0	0	Na
14	11	0	0	0	0	0	Na
15	11	1.1	0	0	0	0	Na
16	11	3.5	0.1	0	0	0	Na
17	11	1.8	0.7	0.1	0	0	Na
18	11	5.6	0.5	0.3	0	0	Na
19	11	5.4	1.8	0.3	0.2	0.1	Na
20	11	13.8	1.4	0.5	0.2	0.2	Na
21	11	74.5	12.7	0.9	0.5	0.4	Na
22	11	73.3	12.6	9.8	0.6	0.7	Na
23	11	0.6	75.2	8.7	11.4	1.3	Na
24	11	2.9	2.3	74.5	6.9	11.3	Na
25	11	0	4.2	2.1	72.1	19.4	Na
26	11	1.1	0.2	7.6	9.4	79.9	Na
27	11	0	1.1	0	9.9	87.2	Na
28	11	0.5	0	2.4	0.6	94.9	Na
29	11	0	0.4	0	1.6	96.6	Na
30	11	0.1	0	0.5	0	97.9	Na
31	11	0	0.1	0	0.6	98	Na
32	11	0	0	0.1	0	98.5	Na
33	11	0	0	0	0.3	98.6	Na
15	12	0	0	0	0	0	Mg
16	12	0	0	0	0	0	Mg
17	12	0.7	0	0	0	0	Mg
18	12	1.1	0	0	0	0	Mg
19	12	1.1	0.5	0.1	0	0	Mg
20	12	2.3	0.4	0.2	0	0	Mg
21	12	7	1.7	0.3	0.2	0.1	Mg
22	12	19.5	2.9	0.6	0.2	0.2	Mg
23	12	63.9	17.7	2.8	0.6	0.5	Mg
24	12	65.4	6.9	12.5	0.7	0.7	Mg
25	12	8.3	61.1	6.1	15.1	1.5	Mg
26	12	33.2	29.9	9	14.3	4.5	Mg
