N	Z	bn	b2n
1	0	0	0
0	1	0	0
1	1	0	0
2	1	0	0
1	2	0	0
0	3	0	0
3	1	2	0
2	2	1	0
1	3	0	0
4	1	2	2
3	2	2	1
2	3	0	0
1	4	0	0
5	1	2	2
4	2	2	2
3	3	1	0
2	4	1	0
1	5	0	0
6	1	1	1
5	2	2	2
4	3	2	1
3	4	1	0
2	5	1	0
6	2	2	2
5	3	2	2
4	4	2	1
3	5	0	0
2	6	0	0
7	2	2	2
6	3	2	2
5	4	2	2
4	5	2	0
3	6	0	0
8	2	2	2
7	3	2	2
6	4	2	2
5	5	2	2
4	6	0	0
3	7	0	0
8	3	2	2
7	4	2	2
6	5	2	2
5	6	2	0
4	7	0	0
9	3	2	2
8	4	2	2
7	5	2	2
6	6	2	2
5	7	0	0
4	8	0	0
10	3	2	2
9	4	2	2
8	5	2	2
7	6	2	2
6	7	2	0
5	8	0	0
10	4	2	2
9	5	2	2
8	6	2	2
7	7	2	2
6	8	0	0
5	9	0	0
11	4	1	1
10	5	2	2
9	6	2	2
8	7	2	2
7	8	2	0
6	9	0	0
12	4	1	2
11	5	2	2
10	6	2	2
9	7	2	2
8	8	2	2
7	9	0	0
6	10	0	0
12	5	2	2
11	6	2	2
10	7	2	2
9	8	2	2
8	9	2	0
7	10	0	0
13	5	2	2
12	6	2	2
11	7	2	2
10	8	2	2
9	9	2	2
8	10	0	0
7	11	0	0
14	5	1	1
13	6	2	2
12	7	2	2
11	8	2	2
10	9	2	2
9	10	2	0
8	11	0	0
7	12	0	0
15	5	1	1
14	6	2	2
13	7	2	2
12	8	2	2
11	9	2	2
10	10	2	2
9	11	2	0
8	12	0	0
16	5	1	1
15	6	1	1
14	7	2	2
13	8	2	2
12	9	2	2
11	10	2	2
10	11	2	2
9	12	0	0
8	13	0	0
16	6	1	2
15	7	2	2
14	8	2	2
13	9	2	2
12	10	2	2
11	11	2	2
10	12	1	0
9	13	0	0
8	14	0	0
17	6	1	1
16	7	1	1
15	8	2	2
14	9	2	2
13	10	2	2
12	11	2	2
11	12	1	1
10	13	1	0
9	14	0	0
17	7	1	1
16	8	2	2
15	9	2	2
14	10	2	2
13	11	2	2
12	12	2	2
11	13	1	1
10	14	0	0
9	15	0	0
18	7	1	1
17	8	2	2
16	9	2	2
15	10	2	2
14	11	2	2
13	12	2	2
12	13	2	1
11	14	1	0
10	15	0	0
18	8	2	2
17	9	2	2
16	10	2	2
15	11	2	2
14	12	2	2
13	13	2	2
12	14	1	1
11	15	0	0
10	16	0	0
19	8	1	1
18	9	2	2
17	10	2	2
16	11	2	2
15	12	2	2
14	13	2	2
13	14	1	1
12	15	1	0
11	16	0	0
20	8	1	1
19	9	2	2
18	10	2	2
17	11	2	2
16	12	2	2
15	13	2	2
14	14	2	1
13	15	1	1
12	16	0	0
11	17	0	0
20	9	1	1
19	10	2	2
18	11	2	2
17	12	2	2
16	13	2	2
15	14	2	2
14	15	2	1
13	16	1	0
12	17	0	0
21	9	1	1
20	10	2	2
19	11	2	2
18	12	2	2
17	13	2	2
16	14	2	2
15	15	2	2
14	16	1	1
13	17	0	0
12	18	0	0
22	9	1	1
21	10	2	2
20	11	2	2
19	12	2	2
18	13	2	2
17	14	2	2
16	15	2	2
15	16	1	1
14	17	1	0
13	18	0	0
22	10	1	1
21	11	2	2
20	12	2	2
19	13	2	2
18	14	2	2
17	15	2	2
16	16	2	1
15	17	1	1
14	18	0	0
13	19	0	0
23	10	1	1
22	11	1	1
21	12	2	2
20	13	2	2
19	14	2	2
18	15	2	2
17	16	2	2
16	17	2	1
15	18	1	0
14	19	0	0
24	10	1	1
23	11	1	1
22	12	2	2
21	13	2	2
20	14	2	2
19	15	2	2
18	16	2	2
17	17	2	2
16	18	1	1
15	19	0	0
14	20	0	0
24	11	1	1
23	12	2	2
22	13	2	2
21	14	2	2
20	15	2	2
19	16	2	2
18	17	2	2
17	18	1	1
16	19	1	0
15	20	0	0
25	11	1	1
24	12	2	2
23	13	2	2
22	14	2	2
21	15	2	2
20	16	2	2
19	17	2	2
18	18	2	2
17	19	1	1
16	20	0	0
15	21	0	0
26	11	1	1
25	12	1	1
24	13	2	2
23	14	2	2
22	15	2	2
21	16	2	2
20	17	2	2
19	18	2	2
18	19	2	1
17	20	1	0
16	21	0	0
26	12	1	1
25	13	2	2
24	14	2	2
23	15	2	2
22	16	2	2
21	17	2	2
20	18	2	2
19	19	2	2
18	20	1	1
17	21	0	0
16	22	0	0
27	12	1	1
26	13	1	1
25	14	2	2
24	15	2	2
23	16	2	2
22	17	2	2
21	18	2	2
20	19	2	2
19	20	1	2
18	21	1	0
17	22	0	0
28	12	1	1
27	13	1	1
26	14	2	2
25	15	2	2
24	16	2	2
23	17	2	2
22	18	2	2
21	19	2	2
20	20	2	1
19	21	1	1
18	22	0	0
17	23	0	0
28	13	1	1
27	14	2	2
26	15	2	2
25	16	2	2
24	17	2	2
23	18	2	2
22	19	2	2
21	20	2	2
20	21	2	2
19	22	1	0
18	23	0	0
29	13	1	1
28	14	1	1
27	15	2	2
26	16	2	2
25	17	2	2
24	18	2	2
23	19	2	2
22	20	2	2
21	21	2	2
20	22	1	1
19	23	0	0
18	24	0	0
30	13	1	1
29	14	1	1
28	15	2	2
