N_stab	Z_stab	N	Z	N_P	Z_P	P1n	P2n	P3n	Ele_MOE
0	1	1	0	0	1	0	0	0	H
1	1	0	1	1	1	0	0	0	H
1	2	1	1	1	2	0	0	0	He
2	2	2	1	2	2	0	0	0	He
3	3	1	2	3	3	0	0	0	Li
4	3	0	3	4	3	0	0	0	Li
5	4	3	1	5	4	0	0	0	Be
5	5	2	2	5	5	0	0	0	B
6	5	1	3	6	5	0	0	0	B
6	6	4	1	6	6	0	0	0	C
7	6	3	2	7	6	0	0	0	C
7	7	2	3	7	7	0	0	0	N
8	7	1	4	8	7	0	0	0	N
8	8	5	1	8	8	0	0	0	O
9	8	4	2	9	8	0	0	0	O
10	8	3	3	10	10	0	0	0	O
10	9	2	4	11	8	0	0	0	O
10	10	1	5	12	8	0	0	0	O
11	10	6	1	13	8	0	0	0	O
12	10	5	2	14	8	0.03	0	0	O
12	11	4	3	15	8	3.71	0	0	O
12	12	3	4	16	8	41.89	0	0	O
13	12	2	5	17	8	4.73	3.07	0	O
14	12	6	2	18	8	74.21	14.6	1.4	O
14	13	5	3	19	8	35.31	24.47	12.43	O
14	14	4	4	20	8	6.08	2.12	91.81	O
15	14	3	5	21	8	94.33	0	0	O
16	14	2	6	22	8	0	100	0	O
16	15	7	2	23	8	94.49	0	0	O
16	16	6	3	24	8	4.74	95.26	0	O
17	16	5	4	25	8	100	0	0	O
18	16	4	5	26	8	100	0	0	O
20	16	3	6	10	9	0	0	0	F
18	17	8	2	11	9	0	0	0	F
20	17	7	3	12	9	0	0	0	F
18	18	6	4	13	9	0	0	0	F
20	18	5	5	14	9	0.15	0	0	F
22	18	4	6	15	9	2.91	0	0	F
20	19	3	7	16	9	1.88	0	0	F
21	19	8	3	17	9	17.61	0.7	0	F
22	19	7	4	18	9	24.59	4.87	0.87	F
20	20	6	5	19	9	13.85	21.87	2.68	F
22	20	5	6	20	9	11.26	13.92	17.44	F
23	20	4	7	21	9	17.2	30.68	34	F
24	20	9	3	22	9	16.24	6.89	40.75	F
26	20	8	4	23	9	17.17	22.63	51.21	F
28	20	7	5	24	9	9.87	14.53	75.61	F
24	21	6	6	25	9	99.05	0	0	F
24	22	5	7	26	9	0	100	0	F
25	22	4	8	27	9	99.81	0	0	F
26	22	10	3	28	9	0	100	0	F
27	22	9	4	29	9	99.49	0	0	F
28	22	8	5	10	10	0	0	0	Ne
27	23	7	6	11	10	0	0	0	Ne
28	23	6	7	12	10	0	0	0	Ne
26	24	5	8	13	10	0	0	0	Ne
28	24	10	4	14	10	0	0	0	Ne
29	24	9	5	15	10	0	0	0	Ne
30	24	8	6	16	10	0.34	0	0	Ne
30	25	7	7	17	10	0.92	0	0	Ne
28	26	6	8	18	10	16.11	0.01	0	Ne
30	26	5	9	19	10	6.44	1.89	0	Ne
31	26	11	4	20	10	9.28	3.46	0	Ne
32	26	10	5	21	10	7.94	5.89	0.42	Ne
32	27	9	6	22	10	40.34	5.12	1.31	Ne
30	28	8	7	23	10	6.72	60.02	21.58	Ne
32	28	7	8	24	10	4.37	48.5	30.57	Ne
33	28	6	9	25	10	2.09	3.35	90.52	Ne
34	28	12	4	26	10	3.66	2.3	94.04	Ne
36	28	11	5	27	10	97.8	0	0	Ne
34	29	10	6	28	10	0	100	0	Ne
36	29	9	7	29	10	98.46	0	0	Ne
34	30	8	8	30	10	0	100	0	Ne
36	30	7	9	31	10	100	0	0	Ne
37	30	6	10	12	11	0	0	0	Na
38	30	12	5	13	11	0	0	0	Na
40	30	11	6	14	11	0	0	0	Na
38	31	10	7	15	11	0	0	0	Na
40	31	9	8	16	11	0.03	0	0	Na
