N	Z	Special	beta-n	beta-2n	beta-3n	beta-4n	MOE-1n	MOE-2n	MOE-3n
6	2	0	16	0	0	0	0	0	0
6	3	0	50.8	0	0	0	0	0	0
8	4	1	1	0	0	0	0	0	0
10	4	0	81	5	0	0	0	0	0
12	5	0	63	11	3.5	0.4	0	0	0
10	6	0	99	0	0	0	0	0	0
11	6	0	32	0	0	0	0	0	0
12	6	0	31.5	0	0	0	0	0	0
14	6	0	72	0	0	0	0	0	0
16	6	1	61	37	0	0	0	0	0
10	7	0	95.1	0	0	0	0	0	0
11	7	0	14.3	0	0	0	0	0	0
12	7	0	54.6	0	0	0	0	0	0
13	7	0	57	0	0	0	0	0	0
14	7	0	90.5	0	0	0	0	0	0
15	7	1	36	13	0	0	0	0	0
14	8	1	22	0	0	0	0.03	0	0
15	8	0	31	0	0	0	3.71	0	0
16	8	0	58	0	0	0	41.89	0	0
13	9	1	11	0	0	0	0	0	0
15	9	1	5.9	0	0	0	2.91	0	0
16	9	0	23.1	0	0	0	1.88	0	0
17	9	0	11	0	0	0	17.61	0.7	0
18	9	0	77	0	0	0	24.59	4.87	0.87
20	9	0	100	0	0	0	11.26	13.92	17.44
16	10	0	0.13	0	0	0	0.34	0	0
17	10	0	2	0	0	0	0.92	0	0
18	10	0	11.9	3.6	0	0	16.11	0.01	0
19	10	0	28	4	0	0	6.44	1.89	0
20	10	0	13	8.9	0	0	9.28	3.46	0
16	11	0	0.13	0	0	0	0.03	0	0
17	11	0	0.58	0	0	0	1.49	0	0
18	11	0	21.5	1.15	0	0	8.09	0	0
19	11	0	30	0	0	0	3.46	0.38	0
20	11	1	37	0.87	0.05	0	14.33	1.3	0
21	11	0	24	8	0	0	33.65	9.24	0.23
22	11	0	47	13	0	0	63.44	4.44	3.8
23	11	3	15	50	0	0	35.83	21.8	3.06
19	12	0	1.7	0	0	0	0.53	0	0
20	12	0	2.4	0	0	0	10.52	0	0
21	12	0	17	0	0	0	30.97	1.79	0
23	12	0	52	0	0	0	22.77	14.66	0.14
19	13	0	0.7	0	0	0	0.13	0	0
20	13	0	8.5	0	0	0	2.33	0	0
21	13	0	27	0	0	0	5.31	0.46	0
22	13	0	65	0	0	0	8.27	0.11	0
23	13	1	31	0	0	0	8.74	4.9	0
22	14	1	10	0	0	0	29.27	0	0
23	14	0	17	0	0	0	12.92	0.21	0
23	15	0	12	0	0	0	1.62	0	0
24	15	0	26	0	0	0	6.37	0	0
25	15	0	15.8	0	0	0	10.78	0.26	0
26	15	0	30	0	0	0	19.4	0.05	0
27	15	0	50	0	0	0	36.32	12.79	0
27	16	0	40	0	0	0	11.5	0	0
28	16	0	18	0	0	0	52.4	0	0
29	16	0	54	0	0	0	24.54	1.66	0
27	17	1	8	0	0	0	7.08	0	0
28	17	0	24	0	0	0	11.95	0	0
29	17	0	60	0	0	0	17.92	0.36	0
30	17	2	0	0	0	0	56.59	0.22	0
29	18	1	0.2	0	0	0	0.09	0	0
31	18	0	65	0	0	0	22.86	0.31	0
29	19	0	1.14	0	0	0	1.02	0	0
30	19	0	86	0	0	0	21.32	0	0
31	19	0	29	0	0	0	24.75	1.54	0
32	19	0	47	0	0	0	61.86	2.73	0
33	19	3	64	21	0	0	17.84	4.9	0
34	19	3	67	17	0	0	29.4	2.8	0.2
32	20	1	2	0	0	0	1.59	0	0
33	20	2	30	0	0	0	0.57	0	0
38	23	2	6	0	0	0	12.65	0	0
40	23	3	35	0	0	0	25.01	0.19	0
39	25	0	33	0	0	0	1.49	0	0
45	27	2	6	0	0	0	3.47	0.3	0
47	27	2	0	0	0	0	6.36	1.45	0
49	28	0	30	0	0	0	25.23	0	0
45	29	2	0	0	0	0	0.15	0	0
46	29	0	3.5	0	0	0	2.56	0	0
49	29	0	65	0	0	0	10.57	0.09	0
50	29	0	72	0	0	0	25.38	0	0
49	30	0	1.3	0	0	0	0.34	0	0
50	30	0	1	0	0	0	6.19	0	0
51	30	0	12	0	0	0	13.38	0	0
52	30	0	58	0	0	0	44.8	0	0
48	31	0	0.089	0	0	0	0.06	0	0
49	31	0	0.86	0	0	0	0.43	0	0
50	31	0	11.9	0	0	0	4.74	0	0
51	31	0	19.8	0	0	0	9.3	0	0
52	31	0	62.8	0	0	0	59.1	0.02	0
53	31	0	74	0	0	0	27.37	14.54	0
55	31	0	60	20	0	0	20.63	44.38	1.59
52	32	0	10.2	0	0	0	9.68	0	0
53	32	0	16.5	0	0	0	10.71	0.04	0
54	32	0	45	0	0	0	23.85	0	0
51	33	0	0.18	0	0	0	0.07	0	0
52	33	0	63.1	0	0	0	11.59	0	0
53	33	0	26	0	0	0	20.28	0.11	0
54	33	0	15.4	0	0	0	37.1	0	0
53	34	0	0.2	0	0	0	0.01	0	0
54	34	0	0.99	0	0	0	0.29	0	0
55	34	0	7.8	0	0	0	2.73	0	0
57	34	0	21	0	0	0	3.78	0.01	0
52	35	0	2.6	0	0	0	0.25	0	0
53	35	0	6.58	0	0	0	1.36	0	0
54	35	0	13.8	0	0	0	10.58	0	0
55	35	0	25.2	0	0	0	13.38	0	0
56	35	0	19.5	0	0	0	54.01	0	0
57	35	0	33.1	0	0	0	8.89	0.04	0
58	35	0	68	0	0	0	86.39	0.08	0
59	35	0	68	0	0	0	14.6	0.28	0
60	35	0	34	0	0	0	93.89	0.15	0
56	36	0	0.0332	0	0	0	0.05	0	0
57	36	0	1.95	0	0	0	0.02	0	0
58	36	0	1.11	0	0	0	0.14	0	0
59	36	0	2.87	0	0	0	0.78	0	0
60	36	0	3.7	0	0	0	0.74	0	0
62	36	0	7	0	0	0	1.61	0	0
55	37	0	0.0107	0	0	0	0.05	0	0
56	37	0	1.39	0	0	0	2.59	0	0
57	37	0	10.5	0	0	0	1.65	0	0
58	37	0	8.7	0	0	0	32.54	0	0
59	37	0	13.3	0	0	0	10.73	0.01	0
60	37	0	25.5	0	0	0	13.1	0	0
61	37	0	13.8	0.051	0	0	18.39	0.2	0
62	37	0	15.9	0	0	0	27.49	0.03	0
63	37	0	6	0.16	0	0	25.78	0.92	0
64	37	0	28	0	0	0	35.34	0.11	0
65	37	0	18	0	0	0	20.07	1.95	0
59	38	1	0.05	0	0	0	0	0	0
60	38	0	0.25	0	0	0	0.35	0	0
61	38	0	0.1	0	0	0	0.23	0	0
62	38	0	0.78	0	0	0	0.4	0	0
63	38	0	2.37	0	0	0	3.84	0	0
64	38	0	5.5	0	0	0	2.87	0	0
58	39	0	0.055	0	0	0	0.02	0	0
59	39	0	0.331	0	0	0	1.24	0	0
60	39	0	1.9	0	0	0	0.57	0	0
61	39	0	0.92	0	0	0	0.4	0	0
62	39	0	1.94	0	0	0	1.52	0	0
64	39	0	8	0	0	0	3.91	0	0
63	41	0	0.06	0	0	0	0	0	0
64	41	0	1.7	0	0	0	0.24	0	0
65	41	0	4.5	0	0	0	0.2	0	0
67	41	0	6.2	0	0	0	16.58	0	0
68	41	0	31	0	0	0	16.35	0	0
69	41	0	40	0	0	0	19.57	0.04	0
66	43	0	0.08	0	0	0	0.01	0	0
67	43	0	0.04	0	0	0	0.08	0	0
68	43	0	0.85	0	0	0	0.42	0	0
70	43	0	2.1	0	0	0	4.86	0	0
73	45	0	3.1	0	0	0	1.05	0	0
74	45	0	6.4	0	0	0	3.77	0	0
