N	Z	P1n	P2n	P3n	P4n	P5n
0	1	0	0	0	0	0
1	1	0	0	0	0	0
1	2	0	0	0	0	0
2	2	0	0	0	0	0
3	3	0	0	0	0	0
4	3	0	0	0	0	0
5	4	0	0	0	0	0
5	5	0	0	0	0	0
6	5	0	0	0	0	0
6	6	0	0	0	0	0
7	6	0	0	0	0	0
7	7	0	0	0	0	0
8	7	0	0	0	0	0
8	8	0	0	0	0	0
9	8	0	0	0	0	0
10	8	0	0	0	0	0
11	8	0	0	0	0	0
12	8	0.8	0	0	0	0
13	8	1.7	0.7	0	0	0
14	8	8.6	0.6	0.2	0	0
15	8	16	1.8	0.3	0.3	0
16	8	73.3	1.7	0.6	0.2	0.1
17	8	10.4	11.7	0.4	0.4	0.3
18	8	8.8	11.3	1.3	0.3	0.5
19	8	38.8	10.1	10.5	1.5	0.8
20	8	61.7	10.9	8.6	8.9	1.7
21	8	0.3	25.6	44.8	10.5	14.7
22	8	0.7	0.7	6.4	54.8	35.1
23	8	0	0.3	0.4	2.4	95.1
24	8	0	0	0.2	0.3	97.9
25	8	0	0	0	0.2	98.6
11	9	0	0	0	0	0
12	9	0	0	0	0	0
13	9	1.6	0.3	0	0	0
14	9	5.2	0.4	0	0	0
15	9	15.2	1.5	0.3	0.1	0
16	9	44.2	1	0.4	0.1	0
17	9	8.1	8.7	0.3	0.3	0.1
18	9	31	8.1	0.8	0.2	0.3
19	9	50.7	14.3	2.1	0.7	0.5
20	9	77.1	5.2	11.3	0.8	0.9
21	9	0.9	73.5	7.1	13.5	1.9
22	9	1.1	1.2	65.4	13.3	17.2
23	9	0	1	0.7	50.7	46
24	9	0	0	0.7	0.6	97.3
25	9	0	0	0	0.6	98.2
27	9	0	0	0	0.1	98.9
13	10	0	0	0	0	0
14	10	0	0	0	0	0
15	10	0.9	0.1	0	0	0
16	10	2.3	0.2	0	0	0
17	10	1.8	0.7	0.2	0	0
18	10	6.2	0.5	0.3	0.1	0
19	10	5.4	2.7	0.3	0.3	0.1
20	10	8.1	2.1	0.6	0.2	0.3
21	10	54.8	9.3	4.1	0.7	0.6
22	10	69.4	10.7	10.9	1.3	1
23	10	0.4	54.6	23.8	13	3.4
24	10	2.8	2.2	65.1	9.4	16.2
25	10	0	2.4	0.7	28.8	65.3
26	10	1	0	2.4	3.8	88.6
27	10	0	0.3	0	2.1	95.4
28	10	0	0	0.4	0.2	96.4
29	10	0	0	0	0.2	97.9
31	10	0	0	0	0.1	98.4
13	11	0	0	0	0	0
14	11	0	0	0	0	0
15	11	1.1	0	0	0	0
16	11	3.5	0.1	0	0	0
17	11	1.8	0.7	0.1	0	0
18	11	5.6	0.5	0.3	0	0
19	11	5.4	1.8	0.3	0.2	0.1
20	11	13.8	1.4	0.5	0.2	0.2
21	11	74.5	12.7	0.9	0.5	0.4
22	11	73.3	12.6	9.8	0.6	0.7
23	11	0.6	75.2	8.7	11.4	1.3
24	11	2.9	2.3	74.5	6.9	11.3
25	11	0	4.2	2.1	72.1	19.4
26	11	1.1	0.2	7.6	9.4	79.9
27	11	0	1.1	0	9.9	87.2
28	11	0.5	0	2.4	0.6	94.9
29	11	0	0.4	0	1.6	96.6
30	11	0.1	0	0.5	0	97.9
31	11	0	0.1	0	0.6	98
32	11	0	0	0.1	0	98.5
33	11	0	0	0	0.3	98.6
15	12	0	0	0	0	0
16	12	0	0	0	0	0
17	12	0.7	0	0	0	0
18	12	1.1	0	0	0	0
19	12	1.1	0.5	0.1	0	0
20	12	2.3	0.4	0.2	0	0
21	12	7	1.7	0.3	0.2	0.1
22	12	19.5	2.9	0.6	0.2	0.2
23	12	63.9	17.7	2.8	0.6	0.5
24	12	65.4	6.9	12.5	0.7	0.7
25	12	8.3	61.1	6.1	15.1	1.5
26	12	33.2	29.9	9	14.3	4.5
27	12	2.6	31.2	27.4	10.5	21.8
28	12	12.1	10	39.5	4.8	25.7
29	12	0.9	12.9	5.6	41.6	33.2
30	12	6.7	6.8	9.1	18.7	51.3
31	12	0	7.1	3	13.4	72.7
32	12	2.7	3.2	7.9	6.6	74.2
33	12	0	1.8	0	9.3	86.5
34	12	0	0.5	1.4	3.4	91.7
35	12	0	0.1	0	0.7	97.7
15	13	0	0	0	0	0
16	13	0	0	0	0	0
17	13	0.9	0	0	0	0
