N	Z	P1n	P2n	P3n
0	1	0	0	0
1	1	0	0	0
1	2	0	0	0
2	2	0	0	0
3	3	0	0	0
4	3	0	0	0
5	4	0	0	0
5	5	0	0	0
6	5	0	0	0
6	6	0	0	0
7	6	0	0	0
7	7	0	0	0
8	7	0	0	0
8	8	0	0	0
9	8	0	0	0
10	10	0	0	0
11	8	0	0	0
12	8	0	0	0
13	8	0	0	0
14	8	0.03	0	0
15	8	3.71	0	0
16	8	41.89	0	0
17	8	4.73	3.07	0
18	8	74.21	14.6	1.4
19	8	35.31	24.47	12.43
20	8	6.08	2.12	91.81
21	8	94.33	0	0
22	8	0	100	0
23	8	94.49	0	0
24	8	4.74	95.26	0
25	8	100	0	0
26	8	100	0	0
10	9	0	0	0
11	9	0	0	0
12	9	0	0	0
13	9	0	0	0
14	9	0.15	0	0
15	9	2.91	0	0
16	9	1.88	0	0
17	9	17.61	0.7	0
18	9	24.59	4.87	0.87
19	9	13.85	21.87	2.68
20	9	11.26	13.92	17.44
21	9	17.2	30.68	34
22	9	16.24	6.89	40.75
23	9	17.17	22.63	51.21
24	9	9.87	14.53	75.61
25	9	99.05	0	0
26	9	0	100	0
27	9	99.81	0	0
28	9	0	100	0
29	9	99.49	0	0
10	10	0	0	0
11	10	0	0	0
12	10	0	0	0
13	10	0	0	0
14	10	0	0	0
15	10	0	0	0
16	10	0.34	0	0
17	10	0.92	0	0
18	10	16.11	0.01	0
19	10	6.44	1.89	0
20	10	9.28	3.46	0
21	10	7.94	5.89	0.42
22	10	40.34	5.12	1.31
23	10	6.72	60.02	21.58
24	10	4.37	48.5	30.57
25	10	2.09	3.35	90.52
26	10	3.66	2.3	94.04
27	10	97.8	0	0
28	10	0	100	0
29	10	98.46	0	0
30	10	0	100	0
31	10	100	0	0
12	11	0	0	0
13	11	0	0	0
14	11	0	0	0
15	11	0	0	0
16	11	0.03	0	0
17	11	1.49	0	0
18	11	8.09	0	0
19	11	3.46	0.38	0
20	11	14.33	1.3	0
21	11	33.65	9.24	0.23
22	11	63.44	4.44	3.8
23	11	35.83	21.8	3.06
24	11	56.95	18.89	24.17
25	11	88.31	0	0
26	11	26.7	73.3	0
27	11	98.47	0	0
28	11	14.08	85.92	0
29	11	99.44	0	0
30	11	0	100	0
31	11	99.27	0	0
32	11	0	100	0
33	11	94.74	0	0
12	12	0	0	0
13	12	0	0	0
14	12	0	0	0
15	12	0	0	0
16	12	0	0	0
17	12	0	0	0
18	12	0.01	0	0
19	12	0.53	0	0
20	12	10.52	0	0
21	12	30.97	1.79	0
22	12	26.26	0.3	0
23	12	22.77	14.66	0.14
24	12	36.98	4.5	0.45
25	12	39.75	24.3	3.16
26	12	70.91	8.5	12.48
27	12	14.4	57.78	17.02
28	12	44.41	17.8	37.79
29	12	92.07	0	0
30	12	6.85	93.15	0
31	12	100	0	0
32	12	100	0	0
33	12	84.66	0	0
34	12	0	100	0
35	12	100	0	0
14	13	0	0	0
15	13	0	0	0
16	13	0	0	0
17	13	0	0	0
18	13	0	0	0
19	13	0.13	0	0
20	13	2.33	0	0
21	13	5.31	0.46	0
22	13	8.27	0.11	0
23	13	8.74	4.9	0
24	13	7.69	2.16	0.5
25	13	6.72	13.22	1.51
26	13	88.08	1.97	6.26
27	13	15.57	73.83	8.53
28	13	39.99	7.3	10.45
29	13	30.89	32.98	25.46
30	13	4.96	54.59	40.45
31	13	99.39	0	0
32	13	1.89	98.11	0
33	13	99.59	0	0
34	13	0	100	0
35	13	99.3	0	0
36	13	0	100	0
37	13	98.92	0	0
38	13	0	100	0
14	14	0	0	0
15	14	0	0	0
16	14	0	0	0
17	14	0	0	0
18	14	0	0	0
19	14	0	0	0
20	14	0	0	0
21	14	0.52	0	0
22	14	29.27	0	0
23	14	12.92	0.21	0
24	14	35.95	0	0
25	14	27.06	2.39	0
26	14	48.67	0.04	0
27	14	44.8	9.8	0
28	14	40.37	4.44	0.01
29	14	23.7	29.42	2.95
30	14	57.15	18.86	23.99
31	14	93.62	0	0
32	14	25.61	68.64	0
33	14	1.95	21.26	40.39
34	14	2.21	0.49	97.3
35	14	98.81	0	0
36	14	0	100	0
37	14	97.42	0	0
38	14	0	100	0
39	14	99.67	0	0
40	14	0	100	0
16	15	0	0	0
17	15	0	0	0
18	15	0	0	0
19	15	0	0	0
20	15	0	0	0
21	15	0	0	0
22	15	2.14	0	0
23	15	1.62	0	0
24	15	6.37	0	0
25	15	10.78	0.26	0
26	15	19.4	0.05	0
27	15	36.32	12.79	0
28	15	41.88	3.24	0
29	15	50.89	32.1	1.56
30	15	43.91	27.2	20.85
31	15	2.63	82.47	13.4
32	15	9.99	8.57	75.29
33	15	0	49.5	49.7
34	15	3.23	0.61	96.16
35	15	98.67	0	0
36	15	2.08	97.92	0
37	15	98.66	0	0
38	15	0	100	0
39	15	99.01	0	0
40	15	0	100	0
41	15	99.27	0	0
42	15	0	100	0
16	16	0	0	0
17	16	0	0	0
18	16	0	0	0
19	16	0	0	0
20	16	0	0	0
21	16	0	0	0
22	16	0	0	0
23	16	0	0	0
24	16	0	0	0
25	16	0.01	0	0
26	16	1.46	0	0
27	16	11.5	0	0
28	16	52.4	0	0
29	16	24.54	1.66	0
30	16	57.48	1.39	0
31	16	10.12	10.25	0.12
32	16	74.69	9.8	9.27
33	16	18.53	27.95	11.21
34	16	75.82	4.25	15.67
35	16	2.24	44.05	49.3
36	16	15.06	18.08	66.85
37	16	97.37	0	0
38	16	3.94	96.06	0
39	16	98.08	0	0
40	16	0.82	99.18	0
41	16	98.36	0	0
42	16	1.75	97.29	0
43	16	0.07	1.67	96.45
44	16	0	0.52	99.48
18	17	0	0	0
19	17	0	0	0
20	17	0	0	0
21	17	0	0	0
22	17	0	0	0
23	17	0	0	0
24	17	0	0	0
25	17	0	0	0
26	17	1.1	0	0
27	17	7.08	0	0
28	17	11.95	0	0
29	17	17.92	0.36	0
30	17	56.59	0.22	0
31	17	61.07	23.1	0
32	17	64.99	22.6	4.09
33	17	40.21	36.56	5.86
34	17	40.59	24.96	29.21
35	17	3.24	47.47	46.87
36	17	7.14	8.33	83.66
37	17	0	16.4	82.34
38	17	18.78	2.34	75.71
39	17	3.28	15.3	78.64
40	17	6.62	7.46	85.91
41	17	99.04	0	0
42	17	2.1	97.9	0
43	17	99.14	0	0
44	17	2.6	97.4	0
45	17	99.06	0	0
46	17	0	100	0
18	18	0	0	0
20	18	0	0	0
21	18	0	0	0
22	18	0	0	0
23	18	0	0	0
24	18	0	0	0
25	18	0	0	0
26	18	0	0	0
27	18	0	0	0
28	18	0	0	0
29	18	0.09	0	0
30	18	24.73	0	0
31	18	22.86	0.31	0
32	18	18.09	0.06	0
33	18	26.87	9.07	0
34	18	35.25	6.1	0.15
35	18	37.62	27.44	4.23
36	18	79.81	6.95	7.08
37	18	11.05	67.58	11.98
38	18	76.63	3.87	9.26
39	18	13.72	63.5	18.47
40	18	43.4	33.58	22.27
41	18	0.86	40.06	56.18
42	18	29.05	5.84	64.82
43	18	0.04	15.28	82.75
44	18	4.56	0.85	94.58
45	18	98.07	0	0
46	18	0	100	0
47	18	98.14	0	0
48	18	0	100	0
49	18	99.36	0	0
20	19	0	0	0
21	19	0	0	0
22	19	0	0	0
23	19	0	0	0
24	19	0	0	0
25	19	0	0	0
26	19	0	0	0
27	19	0	0	0
28	19	0	0	0
29	19	1.02	0	0
30	19	21.32	0	0
31	19	24.75	1.54	0
32	19	61.86	2.73	0
33	19	17.84	4.9	0
34	19	29.4	2.8	0.2
35	19	9.34	25.82	1.64
36	19	29.14	9.41	4.68
37	19	31.86	47.01	5.7
38	19	13.68	54.9	29.02
39	19	1.09	53.46	42.09
40	19	5.63	2.88	90.02
41	19	0	47.58	51.55
42	19	28.94	3.24	66.65
43	19	0	28.17	71.08
44	19	1.93	1.76	96.31
45	19	99.32	0	0
46	19	1.66	98.34	0
47	19	99.43	0	0
48	19	1.27	98.73	0
49	19	99.5	0	0
50	19	0.74	99.26	0
51	19	99.6	0	0
20	20	0	0	0
22	20	0	0	0
23	20	0	0	0
24	20	0	0	0
25	20	0	0	0
26	20	0	0	0
27	20	0	0	0
28	20	0	0	0
29	20	0	0	0
30	20	0	0	0
31	20	1.57	0	0
32	20	1.59	0	0
33	20	0.57	0	0
34	20	6.02	0	0
35	20	13.3	1.39	0
36	20	1.32	3.49	0.07
37	20	13.16	1.38	1.03
38	20	4.66	2.17	0.04
39	20	45.36	6.22	0.6
40	20	5.53	5.83	1.49
41	20	65.54	12.97	4.85
42	20	88.5	2.94	7.63
43	20	0.32	83.43	13.78
44	20	62.63	12.72	23.06
45	20	0.46	52.75	45.05
46	20	12.43	24.37	62.71
47	20	0.09	6.68	91.94
48	20	3.13	0.63	96.24
49	20	99.05	0	0
50	20	1.85	98.15	0
51	20	98.8	0	0
52	20	0	100	0
53	20	99.81	0	0
24	21	0	0	0
25	21	0	0	0
26	21	0	0	0
27	21	0	0	0
28	21	0	0	0
29	21	0	0	0
30	21	0	0	0
31	21	0.04	0	0
32	21	0.09	0	0
33	21	0.38	0	0
34	21	14.76	0.02	0
35	21	14.71	0.87	0
36	21	24.26	0.79	0.02
37	21	9.68	8.07	0.19
38	21	36.04	0.94	0.73
39	21	13.07	27.81	0.66
40	21	46.14	1.25	2.29
41	21	10.75	47.02	4.36
42	21	48.79	38.74	8.78
43	21	14.62	50.87	17.18
44	21	37.51	7.24	54.31
45	21	2.96	39.66	54.08
46	21	29.73	2.17	67.5
47	21	0.27	30.93	67.96
48	21	10.75	5.13	84.12
49	21	0	18.85	80.64
50	21	3.77	1.04	95.19
51	21	99.58	0	0
52	21	1.02	98.98	0
53	21	99.53	0	0
54	21	0	100	0
55	21	100	0	0
24	22	0	0	0
25	22	0	0	0
26	22	0	0	0
27	22	0	0	0
28	22	0	0	0
29	22	0	0	0
30	22	0	0	0
31	22	0	0	0
32	22	0	0	0
33	22	0	0	0
34	22	0.22	0	0
35	22	0.54	0	0
36	22	1.25	0	0
37	22	1.09	0.05	0
38	22	2.43	0	0
39	22	2.49	0.83	0
40	22	5.72	0.07	0
41	22	22.25	5.47	0
42	22	89.09	2.7	0.06
43	22	52.53	16.43	1.32
44	22	54.71	4.01	2.48
45	22	54.49	35.62	4.85
46	22	74.85	11.32	9.31
47	22	13.8	66.43	16.7
48	22	58.76	21.04	17.92
49	22	0.95	68.76	28.38
50	22	28.39	29.61	40.16
51	22	0.33	9.2	88.97
52	22	3.04	1.34	95.62
53	22	99.03	0	0
54	22	0	100	0
55	22	99.73	0	0
56	22	0	100	0
57	22	100	0	0
58	22	100	0	0
27	23	0	0	0
28	23	0	0	0
29	23	0	0	0
30	23	0	0	0
31	23	0	0	0
32	23	0	0	0
33	23	0	0	0
34	23	0.25	0	0
35	23	0.75	0	0
36	23	5.33	0	0
37	23	3.73	0.03	0
38	23	12.65	0	0
39	23	17.69	0.29	0
40	23	25.01	0.19	0
41	23	26.69	3.55	0
42	23	36.27	1.28	0.13
43	23	16.12	27.59	0.17
44	23	49.55	3.19	3.13
45	23	16.84	42.57	3.16
46	23	57.56	15.45	8.23
47	23	23.79	51.73	12.11
48	23	46.7	20.65	31.25
49	23	6.46	51.34	40.91
50	23	39.48	5.36	54
51	23	1.26	34.72	63.5
52	23	1.98	1.75	96.26
53	23	99.48	0	0
54	23	0.8	99.2	0
55	23	99.51	0	0
56	23	0	100	0
57	23	100	0	0
58	23	100	0	0
59	23	99.6	0	0
60	23	0	100	0
26	24	0	0	0	
28	24	0	0	0
29	24	0	0	0
30	24	0	0	0
31	24	0	0	0
32	24	0	0	0
33	24	0	0	0
34	24	0	0	0
35	24	0	0	0
36	24	0	0	0
37	24	0.69	0	0
38	24	0.74	0	0
39	24	2.52	0	0
40	24	1.13	0	0
41	24	7.74	0.06	0
42	24	7.18	0	0
43	24	9.98	1.11	0
44	24	14.73	0.11	0
45	24	19.26	6.22	0
46	24	34.76	2.5	0.08
47	24	48.54	16.02	0.76
48	24	76.09	7.53	3.34
49	24	48.59	34.59	8.89
50	24	69.47	10.15	15.54
51	24	6.98	63.7	26.42
52	24	9.01	36.26	54.74
53	24	0.05	4.16	94.23
54	24	2.62	0.16	97.21
55	24	98.78	0	0
