N	Z	Q(b3n)
1	0	1010
0	1	1010
1	1	1010
2	1	1010
1	2	1010
0	3	1010
3	1	1010
2	2	1010
1	3	1010
4	1	1010
3	2	-32666.693
2	3	1010
1	4	1010
5	1	-3526.828
4	2	1010
3	3	1010
2	4	1010
1	5	1010
6	1	11083.91
5	2	-29463.399
4	3	-40908.653
3	4	1010
2	5	1010
6	2	-11446.122
5	3	1010
4	4	-57266.006
3	5	1010
2	6	1010
7	2	-8690.256
6	3	-21181.35
5	4	-32305.635
4	5	1010
3	6	1010
8	2	3646.772
7	3	-9315.214
6	4	1010
5	5	-39551.904
4	6	1010
3	7	1010
8	3	117.387
7	4	-30949.736
6	5	-36265.722
5	6	1010
4	7	1010
9	3	1447.843
8	4	-18152.457
7	5	1010
6	6	-53592.742
5	7	1010
4	8	1010
10	3	17074.773
9	4	-11215.353
8	5	-27101.38
7	6	-39097.162
6	7	1010
5	8	1010
10	4	-110.927
9	5	-15658.248
8	6	1010
7	7	-43458.91
6	8	1010
5	9	1010
11	4	6221.94
10	5	-3532.826
9	6	-34843.895
8	7	-39541.636
7	8	1010
6	9	1010
12	4	15151.962
11	5	2285.822
10	6	-19509.789
9	7	1010
8	8	-54256.816
7	9	1010
6	10	1010
12	5	13611.958
11	6	-12013.167
10	7	-26685.181
9	8	-33753.205
8	9	1010
7	10	1010
13	5	13964.998
12	6	-6058.324
11	7	-17546.606
10	8	1010
9	9	-40396.68
8	10	1010
7	11	1010
14	5	17648.56
13	6	-2031.969
12	7	-11115.236
11	8	-34940.338
10	9	1010
9	10	1010
8	11	1010
7	12	1010
15	5	18463.84
14	6	1700.47
13	7	-10460.008
12	8	-27369.678
11	9	-43818.763
10	10	-47704.495
9	11	1010
8	12	1010
16	5	23360.42
15	6	5543.55
14	7	-985.493
13	8	-23699.844
12	9	-32658.763
11	10	1010
10	11	-50279.662
9	12	1010
8	13	1010
16	6	10452.169
15	7	1735.613
14	8	-17910.044
13	9	-25692.099
12	10	-47877.956
11	11	1010
10	12	1010
9	13	1010
8	14	1010
17	6	15225.35
16	7	8916.47
15	8	-13894.014
14	9	-20242.454
13	10	-38637.042
12	11	-54297.998
11	12	-48061.335
10	13	1010
9	14	1010
17	7	12643.54
16	8	-7395.024
15	9	-17090.013
14	10	-31779.753
13	11	-45184.649
12	12	1010
11	13	-48554.968
10	14	1010
9	15	1010
18	7	21039.95
17	8	-1119.14
16	9	-6955.605
15	10	-25612.459
14	11	-35015.526
13	12	-57735.476
12	13	-49442.496
11	14	1010
10	15	1010
18	8	5456.596
17	9	-2619.025
16	10	-18610.495
15	11	-28109.464
14	12	-49146.563
13	13	1010
12	14	-54956
11	15	1010
10	16	1010
19	8	10216.28
18	9	4103.419
17	10	-12806.941
16	11	-21782.271
15	12	-41580.087
14	13	-55288.709
13	14	-48706.928
12	15	1010
11	16	1010
20	8	13730.29
19	9	7795.441
18	10	-5715.386
17	11	-18096.125
16	12	-33447.85
15	13	-46878.186
14	14	1010
13	15	-51735.945
12	16	1010
11	17	1010
20	9	12791.92
19	10	-1650.605
18	11	-7349.644
17	12	-27424.747
16	13	-37263.833
15	14	-59135.248
14	15	-49708.043
13	16	1010
12	17	1010
21	9	14325.16
20	10	2146.143
19	11	-3258.433
18	12	-19495.305
17	13	-29496.212
16	14	-50823.852
15	15	1010
14	16	-58283
13	17	1010
12	18	1010
22	9	18765.98
21	10	4843.887
20	11	133.742
19	12	-13371.561
18	13	-22257.36
17	14	-41720.215
16	15	-55693.766
15	16	-50845.401
14	17	1010
13	18	1010
22	10	8166.48
21	11	2350.785
20	12	-9034.639
19	13	-17852.532
18	14	-34359.582
17	15	-47954.5
16	16	1010
15	17	-50040.323
14	18	1010
13	19	1010
23	10	12152.98
22	11	6438.95
21	12	-6329.243
20	13	-10303.467
19	14	-27956.399
18	15	-38692.712
17	16	-57790.367
16	17	-49667.044
15	18	1010
14	19	1010
24	10	15218.01
23	11	8461.8
22	12	-3003.431
21	13	-6551.012
20	14	-23302.56
19	15	-31741.116
18	16	-49073.655
17	17	1010
16	18	-57139
15	19	1010
14	20	1010
24	11	14259.96
23	12	-415.023
22	13	-2833.984
21	14	-16810.458
20	15	-27155.004
19	16	-42009.517
18	17	-52906.88
17	18	-46232.519
16	19	1010
15	20	1010
25	11	15340.94
24	12	3841.874
23	13	-124.743
22	14	-12567.045
21	15	-21717.424
20	16	-36682.157
19	17	-46596.358
18	18	1010
17	19	-48250.915
16	20	1010
15	21	1010
26	11	19087.72
25	12	5550.37
24	13	3723.731
23	14	-8189.953
22	15	-15079.954
21	16	-29479.959
20	17	-39612.973
19	18	-55856.389
18	19	-48018.133
17	20	1010
16	21	1010
26	12	8236.07
25	13	4424.457
24	14	-6169.783
23	15	-11986.559
22	16	-25553.67
21	17	-32702.927
20	18	-49541.386
19	19	1010
18	20	-53422
17	21	1010
16	22	1010
27	12	10091.97
26	13	7075.52
25	14	-2899.595
24	15	-8674.187
23	16	-20621.204
22	17	-28290.702
21	18	-42282.63
20	19	-53352.758
19	20	-48649.992
18	21	1010
17	22	1010
28	12	12936.53
27	13	8253.52
26	14	-1872.337
25	15	-7224.889
24	16	-16982.013
23	17	-24620.628
22	18	-36803.713
21	19	-46739.626
20	20	1010
19	21	-49487.95
18	22	1010
17	23	1010
28	13	11182.63
27	14	985.615
26	15	-4058.99
25	16	-15446.389
24	17	-18570.453
23	18	-31593.342
22	19	-39337.946
21	20	-56869.806
20	21	-48104.874
19	22	1010
18	23	1010
29	13	12564.51
28	14	2816.41
27	15	-1721.535
26	16	-13756.366
25	17	-17496.394
24	18	-28579.869
23	19	-33796.713
22	20	-50053.54
21	21	1010
20	22	-54097
19	23	1010
18	24	1010
30	13	17052.97
29	14	4457.01
28	15	1887.315
27	16	-10655.582
26	17	-15330.649
25	18	-24731.169
24	19	-29867.874
23	20	-44277.035
22	21	-53246.196
21	22	-48318.728
20	23	1010
19	24	1010
30	14	7002.58
29	15	3202.12
28	16	-7711.294
27	17	-13460.845
26	18	-23493.063
25	19	-29675.684
24	20	-39761.49
23	21	-48261.947
22	22	1010
21	23	-45871
20	24	1010
19	25	1010
31	14	10569.67
30	15	6207.38
29	16	-4715.052
28	17	-9907.38
27	18	-20664.559
26	19	-23881.326
25	20	-36602.175
24	21	-41841.725
23	22	-57099.402
22	23	1010
21	24	1010
20	25	1010
19	26	1010
31	15	7814.72
30	16	-2364.83
29	17	-7677.268
28	18	-18852.548
27	19	-23277.087
26	20	-34730.427
25	21	-38384.614
24	22	-52049.254
23	23	-60496.071
22	24	-53892
21	25	1010
20	26	1010
32	15	13534.43
31	16	1253.63
30	17	-3745.22
29	18	-15384.454
28	19	-19923.183
27	20	-30417.433
26	21	-34627.81
25	22	-46878.489
24	23	-54883.634
23	24	1010
22	25	-54854
21	26	1010
20	27	1010
32	16	5785.18
31	17	-426.62
30	18	-11407.3
29	19	-16915.368
28	20	-29149.169
27	21	-32851.136
26	22	-42389.076
25	23	-50040.874
24	24	-63058.222
23	25	1010
22	26	1010
21	27	1010
20	28	1010
33	16	9758.67
32	17	5067.55
31	18	-7420.12
30	19	-11553.066
29	20	-24662.402
28	21	-28349.663
27	22	-39084.266
26	23	-43948.7
25	24	-58177.885
24	25	-63563.011
23	26	-51526
22	27	1010
21	28	1010
33	17	8366.35
32	18	-2835.77
31	19	-8584.914
30	20	-20562.66
29	21	-25198.743
28	22	-36158.355
27	23	-40354.057
26	24	-52603.907
25	25	-60497.601
24	26	-53523
23	27	-51422
22	28	1010
34	17	10372.38
33	18	848.2
32	19	-3731.27
31	20	-16971.246
30	21	-20069.296
29	22	-31601.124
28	23	-36798.65
27	24	-47587.949
26	25	-55745.405
25	26	-49187.187
24	27	-52757
23	28	1010
34	18	3607.99
33	19	-904.72
32	20	-13169.373
31	21	-16916.811
30	22	-26922.304
29	23	-33525.813
28	24	-43652.495
27	25	-50967.861
26	26	1010
25	27	-45546
24	28	1010
23	29	1010
35	18	7151.77
34	19	3082.54
33	20	-9848.94
32	21	-12457.318
31	22	-22822.45
30	23	-27227.327
29	24	-39925.029
28	25	-44857.351
27	26	-59108.226
26	27	-47255.803
25	28	1010
24	29	1010
35	19	6280.62
34	20	-6867.55
33	21	-9991.896
32	22	-19234.876
31	23	-23995.099
30	24	-35791.484
29	25	-41030.277
28	26	-53864.547
27	27	1010
26	28	-54662
25	29	1010
24	30	1010
36	19	8880.21
35	20	-3708.55
34	21	-5535.409
33	22	-16186.69
32	23	-19298.447
31	24	-30653.488
30	25	-37091.248
29	26	-48930.649
28	27	-56119.064
27	28	-47975.825
26	29	1010
25	30	1010
37	19	10952.89
36	20	-1492.8
35	21	-3520.82
34	22	-12726.29
33	23	-16529.137
32	24	-25949.22
31	25	-33442.613
30	26	-43413.734
29	27	-51687.519
28	28	1010
27	29	-48013
26	30	1010
25	31	1010
37	20	783.4
36	21	-496.92
35	22	-9513.218
34	23	-12908.459
33	24	-22331.518
32	25	-26395.761
31	26	-39436.552
30	27	-45191.359
29	28	-59988.457
28	29	-51645
27	30	1010
26	31	1010
38	20	2507.57
37	21	805.1
36	22	-7543.78
35	23	-11225.493
34	24	-19639.446
33	25	-23580.023
32	26	-34687.499
31	27	-39905.285
30	28	-54047.019
29	29	1010
28	30	-57617
27	31	1010
26	32	1010
38	21	3294.92
37	22	-5327.34
36	23	-8031.515
35	24	-17001.87
34	25	-20486.057
33	26	-30223.764
32	27	-35276.651
31	28	-48541.496
30	29	-56622.777
29	30	-49529
28	31	1010
27	32	1010
39	21	4233.3
38	22	-3665.02
37	23	-6369.39
36	24	-14310.868
35	25	-18343.833
34	26	-27766.595
33	27	-32594.287
32	28	-42832.032
31	29	-51559.029
30	30	1010
29	31	-51302
28	32	1010
27	33	1010
40	21	6410.47
39	22	-1503.55
38	23	-4337.01
37	24	-12391.627
36	25	-15040.698
35	26	-24544.611
34	27	-28130.421
33	28	-39428.228
32	29	-45102.514
31	30	-58477.149
30	31	-51256
29	32	1010
28	33	1010
40	22	-276
39	23	-3143.59
38	24	-10667.52
37	25	-13807.17
36	26	-22245.414
35	27	-25984.061
34	28	-37467.166
33	29	-40996.865
32	30	-52593.066
31	31	-41847
30	32	-56928
29	33	1010
41	22	2065
40	23	-508.55
39	24	-8621.121
