N	Z	Q(bn)
1	0	1010
0	1	1010
1	1	1010
2	1	1010
1	2	1010
0	3	1010
3	1	1618.588
2	2	-34313.27
1	3	1010
4	1	22396.208
3	2	-22163.273
2	3	1010
1	4	1010
5	1	22573.172
4	2	-2158.104
3	3	-31123.155
2	4	1010
1	5	1010
6	1	23471.71
5	2	3914.931
4	3	-11539.243
3	4	-39622.551
2	5	1010
6	2	8631.258
5	3	-2894.507
4	4	-30806.196
3	5	1010
2	6	1010
7	2	11918.774
6	3	11941.91
5	4	-19644.445
4	5	-30719.102
3	6	1010
8	2	16146.092
7	3	13632.856
6	4	-7880.313
5	5	-24931.594
4	6	1010
3	7	1010
8	3	20049.447
7	4	55.164
6	5	-15102.192
5	6	-36221.127
4	7	1010
9	3	20671.083
8	4	8338.563
7	5	-5352.194
6	6	-32374.962
5	7	1010
4	8	1010
10	3	25191.813
9	4	12218.347
8	5	8490.8
7	6	-22284.382
6	7	-34640.529
5	8	1010
10	4	15321.063
9	5	12467.362
8	6	-10396.904
7	7	-28323.34
6	8	1010
5	9	1010
11	4	18024.99
10	5	17866.774
9	6	-1061.595
8	7	-15977.336
7	8	-37180.125
6	9	1010
12	4	20417.832
11	5	19167.812
10	6	5521.371
9	7	-5243.012
8	8	-29615.126
7	9	1010
6	10	1010
12	5	22005.368
11	6	7275.553
10	7	4535.759
9	8	-19560.335
8	9	-30105.769
7	10	1010
13	5	22745.038
12	6	8976.736
11	7	5850.614
10	8	-10805.839
9	9	-23698.65
8	10	1010
7	11	1010
14	5	25788.17
13	6	11228.131
12	7	8567.024
11	8	-5611.568
10	9	-14876.388
9	10	-31356.197
8	11	1010
7	12	1010
15	5	26648.68
14	6	13630.77
13	7	10360.932
12	8	-2787.708
11	9	-9840.833
10	10	-28042.635
9	11	-33049.103
8	12	1010
16	5	30092
15	6	15806.74
14	7	13383.677
13	8	8.056
12	9	-1076.993
11	10	-20653.698
10	11	-27814.622
9	12	1010
8	13	1010
16	6	20267.759
15	7	15905.453
14	8	1259.616
13	9	453.831
12	10	-13911.396
11	11	-24166.35
10	12	-35461
9	13	1010
8	14	1010
17	6	24061
16	7	20967.02
15	8	3755.966
14	9	3266.436
13	10	-8043.842
12	11	-17201.228
11	12	-31746.335
10	13	-34661
9	14	1010
17	7	24246.43
16	8	7116.046
15	9	4642.257
14	10	-4493.103
13	11	-11016.009
12	12	-28752.955
11	13	-31815.968
10	14	-22575
9	15	1010
18	7	29411
17	8	11716.88
16	9	9243.835
15	10	-1713.169
14	11	-3495.566
13	12	-21216.476
12	13	-27731.836
11	14	-37563
10	15	1010
18	8	15298.206
17	9	12653.545
16	10	1765.945
15	11	-1739.324
14	12	-15369.693
13	13	-24108.756
12	14	-34951
11	15	1010
10	16	1010
19	8	17714.25
18	9	16078.869
17	10	5825.289
16	11	2625.549
15	12	-10447.817
14	13	-18127.089
13	14	-31428.928
12	15	-35872
11	16	1010
20	8	19379
19	9	17813.811
18	10	8737.924
17	11	5526.985
16	12	-5893.3
15	13	-12537.456
14	14	-28841.655
13	15	-32246.945
12	16	1010
11	17	1010
20	9	20262.91
19	10	11316.795
18	11	9627.386
17	12	-1823.617
16	13	-4783.183
15	14	-22818.658
14	15	-29096.973
13	16	-38744
12	17	1010
21	9	21640.45
20	10	12288.283
19	11	11006.187
18	12	1249.615
17	13	-2048.692
16	14	-15551.822
15	15	-25115.521
14	16	-35898
13	17	1010
12	18	1010
22	9	24507.45
21	10	14274.357
20	11	13073.342
19	12	4678.799
18	13	1406.67
17	14	-10819.745
16	15	-18452.846
15	16	-31557.401
14	17	-36627
13	18	1010
22	10	16666.41
21	11	13860.675
20	12	6054.851
19	13	3779.188
18	14	-7708.462
17	15	-13333.67
16	16	-27020.729
15	17	-32700.323
14	18	1010
13	19	1010
23	10	19116
22	11	16724.69
21	12	7989.417
20	13	7538.133
19	14	-4280.769
18	15	-8393.132
17	16	-21322.497
16	17	-26874.304
15	18	-38554
14	19	1010
24	10	20803
23	11	18255.83
22	12	8720.259
21	13	9374.108
20	14	-1690.7
19	15	-6034.166
18	16	-16999.675
17	17	-23127.115
16	18	-33492
15	19	1010
14	20	1010
24	11	21445.12
23	12	10637.367
22	13	11665.576
21	14	2116.982
20	15	-2997.414
19	16	-12477.447
18	17	-18706.56
17	18	-29898.519
16	19	-33096
15	20	1010
25	11	22200.06
24	12	12528.674
23	13	12239.467
22	14	4393.155
21	15	523.876
20	16	-9721.897
19	17	-14545.928
18	18	-27129.965
17	19	-30275.915
16	20	1010
15	21	1010
26	11	24691
25	12	14267.86
24	13	14131.571
23	14	5585.427
22	15	3596.706
21	16	-5445.709
20	17	-9601.303
19	18	-21601.899
18	19	-26420.363
17	20	-36559
16	21	1010
26	12	16192.98
25	13	14732.827
24	14	6754.487
23	15	4155.541
22	16	-3170.98
21	17	-6921.757
20	18	-17985.936
19	19	-23736.003
18	20	-33614
17	21	1010
16	22	1010
27	12	17994
26	13	17095.33
25	14	8918.595
24	15	5960.593
23	16	-1435.574
22	17	-3156.692
21	18	-12512.75
20	19	-19820.008
19	20	-30807.992
18	21	-32910
17	22	1010
28	12	19539
27	13	17581.01
26	14	10187.633
25	15	7016.601
24	16	-1108.973
23	17	-2386.938
22	18	-9304.023
21	19	-14324.106
20	20	-28744.99
19	21	-30792.95
18	22	1010
17	23	1010
28	13	20386.67
27	14	12122.775
26	15	9786.76
25	16	477.921
24	17	-338.613
23	18	-7603.332
22	19	-8784.476
21	20	-22685.866
20	21	-27863.344
19	22	-35655
18	23	1010
29	13	20646
28	14	13470.19
27	15	11946.995
26	16	1598.124
25	17	83.196
24	18	-6934.449
23	19	-7955.453
22	20	-17976.15
21	21	-24494.92
20	22	-33372
19	23	1010
18	24	1010
30	13	23311
29	14	14019.77
28	15	14246.255
27	16	4646.218
26	17	2028.731
25	18	-5059.099
24	19	-6099.464
23	20	-14358.985
22	21	-19154.756
21	22	-29772.728
20	23	-32229
19	24	1010
30	14	15762
29	15	14565.91
28	16	7047.076
27	17	3328.765
26	18	-4169.183
25	19	-5443.994
24	20	-13351.88
23	21	-16566.207
22	22	-27703.531
21	23	-29887
20	24	1010
19	25	1010
31	14	18700
30	15	16456.33
29	16	8548.828
28	17	6242.19
27	18	-2060.619
26	19	-3218.296
25	20	-11067.495
24	21	-11593.925
23	22	-22964.062
22	23	-26314.75
21	24	-34246
20	25	1010
19	26	1010
31	15	18703
30	16	10326.1
29	17	7889.152
28	18	-1186.438
27	19	-2673.087
26	20	-10138.537
25	21	-10822.694
24	22	-20317.764
23	23	-25631.121
22	24	-32412
21	25	-34460
20	26	1010
32	15	21131
31	16	13145
30	17	11562.43
29	18	2131.596
28	19	-644.893
27	20	-8654.273
26	21	-8279.95
25	22	-15933.119
24	23	-20603.584
23	24	-29675.445
22	25	-31224
21	26	1010
20	27	1010
32	16	14788
31	17	13078
30	18	5201.18
29	19	1987.662
28	20	-7960.449
27	21	-7638.336
26	22	-14557.246
25	23	-17987.194
24	24	-28327.532
23	25	-29803
22	26	-36333
21	27	1010
20	28	1010
33	16	17193
32	17	15514
31	18	7352.67
30	19	6541.954
29	20	-4867.792
28	21	-6140.653
27	22	-12157.356
26	23	-13210.62
25	24	-24080.575
24	25	-27292.011
23	26	-33688
22	27	-34878
21	28	1010
33	17	17219
32	18	8620.33
31	19	7500.726
30	20	-1099.47
29	21	-4056.023
28	22	-11541.045
27	23	-11962.477
26	24	-20696.287
25	25	-25947.821
24	26	-32229
23	27	-33026
22	28	1010
34	17	19324
33	18	11788.49
32	19	9001.87
31	20	137.664
30	21	130.554
29	22	-8579.324
28	23	-10013.29
27	24	-16895.139
26	25	-21826.185
25	26	-30491.187
24	27	-30514
23	28	1010
34	18	13476
33	19	11724.2
32	20	894.487
31	21	1494.039
30	22	-5336.474
29	23	-8063.873
28	24	-15245.915
27	25	-18575.841
26	26	-29061
25	27	-29124
24	28	1010
23	29	1010
35	18	15263
34	19	14511
33	20	3637.77
32	21	3290.112
31	22	-3457.7
30	23	-4503.217
29	24	-12650.359
28	25	-14428.071
27	26	-25028.106
26	27	-27255.803
25	28	-34638
24	29	1010
35	19	15384
34	20	5258.11
33	21	5159.684
32	22	-1818.376
31	23	-2677.529
30	24	-10315.974
29	25	-12681.107
28	26	-21666.557
27	27	-26449.812
26	28	-32940
25	29	1010
24	30	1010
36	19	17414
35	20	7177.16
34	21	7549.231
33	22	153.26
32	23	-281.237
31	24	-7623.438
30	25	-9529.178
29	26	-17542.639
28	27	-22877.654
27	28	-31665.825
26	29	-32291
25	30	1010
37	19	18206
36	20	8007
35	21	8864.89
34	22	1866.98
33	23	914.223
32	24	-5640.84
31	25	-7501.523
30	26	-14648.484
29	27	-18775.889
28	28	-30343
27	29	-31387
26	30	1010
25	31	1010
37	20	9786
36	21	10426.4
35	22	4184.182
34	23	2981.541
33	24	-3684.608
32	25	-4951.031
31	26	-12212.702
30	27	-13509.359
29	28	-25916.967
28	29	-29801
27	30	-36295
26	31	1010
38	20	10717
37	21	10920
36	22	5045.57
35	23	4133.327
34	24	-2419.916
33	25	-3717.693
32	26	-10880.839
31	27	-11834.655
30	28	-20991.219
29	29	-27191.981
28	30	-34720
27	31	1010
26	32	1010
38	21	12739
37	22	6604.17
36	23	5931.395
35	24	-135.25
34	25	-1442.167
33	26	-8888.924
32	27	-10072.281
31	28	-17560.296
30	29	-22130.897
29	30	-31794
28	31	-34330
27	32	1010
39	21	13521
38	22	7432.74
37	23	6578.22
36	24	950.132
35	25	-375.093
34	26	-7254.575
33	27	-8564.917
32	28	-16186.122
31	29	-19200.909
30	30	-28274
29	31	-31545
28	32	1010
27	33	1010
40	21	15188
39	22	8823.21
38	23	7926.13
37	24	2441.533
36	25	1598.932
35	26	-5342.091
34	27	-6496.411
33	28	-13948.088
32	29	-15881.424
31	30	-24636.149
30	31	-27596
29	32	-36100
28	33	1010
40	22	9870
39	23	8907.81
38	24	2776
37	25	2368.13
36	26	-4051.744
35	27	-5273.821
34	28	-12833.346
33	29	-14509.595
32	30	-22104.286
31	31	-26329
30	32	-32383
29	33	1010
41	22	11583
40	23	10831.53
39	24	4687.939
38	25	3919.678
37	26	-2283.112
36	27	-3176.458
35	28	-10796.673
34	29	-12483.107
33	30	-18297.979
32	31	-22719.876
